Артикул распродажи,Наименование,Бренд,Модель,Полная цена,Обычная цена,Цена распродажи,Скидка в %,Описание,Ссылка на товар,Изображение уцененного,Обычное изображение
425462673,Brayer,Электрочайник,BR1013,75.0,63.75,63.75,15,"Новый, скол на корпусе, полная гарантия.",https://www.21vek.by/teapots/br1013_brayer.html,https://cdn21vek.by/img/galleries/6183/268/sale/4186164/preview/6982008652884953733.jpg,https://cdn21vek.by/img/galleries/6183/268/preview/br1013_brayer_5f6c2ddb30531.png
425421573,Samsung,Смартфон,Galaxy A03 Core Dual Sim / SM-A032FZBDSER (синий),299.0,224.25,224.25,25,"Был в эксплуатации, после сервисного обслуживания (смена ПО), царапины. Гарантия до 29.03.2023г.",https://www.21vek.by/mobile/galaxya03coresma032fzbdser_samsung.html,https://cdn21vek.by/img/galleries/65575/409/sale/4131722/preview/4379787998903773301.jpg,https://cdn21vek.by/img/galleries/65575/409/preview/galaxya03coresma032fzbdser_samsung_61a7364783c1c.jpeg
425421828,Samsung,Смартфон,Galaxy A03 Core Dual Sim / SM-A032FZBDSER (синий),299.0,224.25,224.25,25,"Был в эксплуатации, после сервисного обслуживания (смена ПО, замена  платы), потертости. Гарантия до 04.04.2023г.",https://www.21vek.by/mobile/galaxya03coresma032fzbdser_samsung.html,https://cdn21vek.by/img/galleries/65575/409/sale/4131724/preview/876474010671659180.jpg,https://cdn21vek.by/img/galleries/65575/409/preview/galaxya03coresma032fzbdser_samsung_61a7364783c1c.jpeg
425463138,Kitfort,Вертикальный пылесос,KT-510,109.0,65.4,65.4,40,"Был в эксплуатации, после сервисного обслуживания (замена мотора), царапины, загрязнения, нет заводской упаковки, гарантия 3 месяца.",https://www.21vek.by/vacuum/kt510_kitfort.html,https://cdn21vek.by/img/galleries/113/796/sale/4187809/preview/8031678104898811312.jpg,https://cdn21vek.by/img/galleries/113/796/preview/kt510_kitfort_62611623d9636.jpeg
425463478,Kitfort,Вертикальный пылесос,KT-510,109.0,65.4,76.3,40,"Был в эксплуатации, после сервисного обслуживания (ремонт двигателя), царапины, загрязнения, гарантия по 16.03.2023г.",https://www.21vek.by/vacuum/kt510_kitfort.html,https://cdn21vek.by/img/galleries/113/796/sale/4177023/preview/1075627988448119428.jpg,https://cdn21vek.by/img/galleries/113/796/preview/kt510_kitfort_62611623d9636.jpeg
425466128,Kitfort,Вертикальный пылесос,KT-510,109.0,65.4,76.3,40,"Был в эксплуатации, после сервисного обслуживания (замена защёлки ручки), царапины, загрязнения, гарантия по 03.01.2023г.",https://www.21vek.by/vacuum/kt510_kitfort.html,https://cdn21vek.by/img/galleries/113/796/sale/4147883/preview/690682720775132668.jpg,https://cdn21vek.by/img/galleries/113/796/preview/kt510_kitfort_62611623d9636.jpeg
425462358,Vitek,Кофеварка эспрессо,VT-1514 BK,619.0,464.25,464.25,25,"Была в эксплуатации, царапины, загрязнения, гарантия по 30.04.2023г.",https://www.21vek.by/coffee_machines/vitek_vt1514bk.html,https://cdn21vek.by/img/galleries/62/781/sale/4184612/preview/5496506379167362372.jpg,https://cdn21vek.by/img/galleries/62/781/preview/vitek_vt1514bk_52fcdd7a929be.jpeg
425452663,Gezatone,Аппарат для чистки лица,Bio Sonic 770S / 1301231,120.0,90.0,90.0,25,"Был в эксплуатации, после сервиса, царапины, гарантия до 28.12.2022г.",https://www.21vek.by/face_apps/biosonic770s1301231_gezatone.html,https://cdn21vek.by/img/galleries/6077/13/sale/4178554/preview/8603249297507980885.jpg,https://cdn21vek.by/img/galleries/6077/13/preview/biosonic770s1301231_gezatone_5fa0e442ab899.jpeg
425442008,Vitek,Утюг,VT-1234 W,99.0,59.4,59.4,40,"Был в эксплуатации, после сервисного обслуживания (замена модуля), царапины, загрязнения, гарантия по 23.12.2022г.",https://www.21vek.by/irons/vt1234_vitek.html,https://cdn21vek.by/img/galleries/677/367/sale/4161148/preview/8781041277459745783.jpg,https://cdn21vek.by/img/galleries/677/367/preview/vt1234_vitek_5bebf7fcb25d9.jpeg
425464278,360,Робот-пылесос,Robot Vacuum Cleaner C50-1,499.0,349.3,349.3,30,"Был в эксплуатации, после сервисного обслуживания, царапины, загрязнения. Гарантия до 07.03.2023г.",https://www.21vek.by/robotic_vacuums/robotvacuumcleanerc501.html,https://cdn21vek.by/img/galleries/6785/594/sale/4191828/preview/7661453205710952392.jpg,https://cdn21vek.by/img/galleries/6785/594/preview/robotvacuumcleanerc501_613078c151610.jpeg
